0
Initializing SDP sensor
SDP sensor initialized
1
SN:1820000045  FlowOffset:0.00 FlowScale:256.00  TempOffset:20000.00  TempScale:100.00 SFM Status:02
3
SETUP DONE
r_f_set: 3.00   PWM: 20.63   Flow_SFM: 2.99   Flow_SDP: 3.06   Mean_Pressure: 1.57
r_f_set: 3.00   PWM: 21.17   Flow_SFM: 2.97   Flow_SDP: 3.05   Mean_Pressure: 1.57
r_f_set: 3.00   PWM: 21.33   Flow_SFM: 2.98   Flow_SDP: 3.04   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 21.40   Flow_SFM: 2.99   Flow_SDP: 3.05   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 21.23   Flow_SFM: 3.00   Flow_SDP: 3.07   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 21.12   Flow_SFM: 3.00   Flow_SDP: 3.06   Mean_Pressure: 1.56
r_f_set: 3.00   PWM: 21.17   Flow_SFM: 2.98   Flow_SDP: 3.06   Mean_Pressure: 1.57
r_f_set: 3.00   PWM: 20.97   Flow_SFM: 3.00   Flow_SDP: 3.05   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.71   Flow_SFM: 3.02   Flow_SDP: 3.02   Mean_Pressure: 1.62
r_f_set: 3.00   PWM: 21.19   Flow_SFM: 3.00   Flow_SDP: 3.08   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.74   Flow_SFM: 3.00   Flow_SDP: 3.05   Mean_Pressure: 1.59
r_f_set: 3.00   PWM: 21.18   Flow_SFM: 2.97   Flow_SDP: 3.02   Mean_Pressure: 1.57
r_f_set: 3.00   PWM: 21.12   Flow_SFM: 3.00   Flow_SDP: 3.05   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 21.16   Flow_SFM: 2.98   Flow_SDP: 3.00   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.82   Flow_SFM: 3.02   Flow_SDP: 3.04   Mean_Pressure: 1.61
r_f_set: 3.00   PWM: 20.82   Flow_SFM: 3.02   Flow_SDP: 3.03   Mean_Pressure: 1.62
r_f_set: 3.00   PWM: 21.10   Flow_SFM: 2.99   Flow_SDP: 3.04   Mean_Pressure: 1.59
r_f_set: 3.00   PWM: 21.42   Flow_SFM: 3.00   Flow_SDP: 3.02   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.95   Flow_SFM: 3.01   Flow_SDP: 3.05   Mean_Pressure: 1.59
r_f_set: 3.00   PWM: 20.86   Flow_SFM: 2.98   Flow_SDP: 3.04   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.79   Flow_SFM: 2.99   Flow_SDP: 3.04   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 21.06   Flow_SFM: 3.01   Flow_SDP: 3.04   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.96   Flow_SFM: 3.00   Flow_SDP: 3.07   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.80   Flow_SFM: 3.00   Flow_SDP: 3.06   Mean_Pressure: 1.58
r_f_set: 3.00   PWM: 20.97   Flow_SFM: 2.98   Flow_SDP: 3.03   Mean_Pressure: 1.61
r_f_set: 3.00   PWM: 21.36   Flow_SFM: 2.97   Flow_SDP: 3.02   Mean_Pressure: 1.57
r_f_set: 3.00   PWM: 21.17   Flow_SFM: 2.97   Flow_SDP: 3.06   Mean_Pressure: 1.56
r_f_set: 3.00   PWM: 21.21   Flow_SFM: 2.99   Flow_SDP: 3.06   Mean_Pressure: 1.59
r_f_set: 3.00   PWM: 20.94   Flow_SFM: 2.99   Flow_SDP: 3.02   Mean_Pressure: 1.57
r_f_set: 3.00   PWM: 20.93   Flow_SFM: 2.99   Flow_SDP: 3.05   Mean_Pressure: 1.57
r_f_set: 4.00   PWM: 24.04   Flow_SFM: 3.07   Flow_SDP: 3.13   Mean_Pressure: 1.62
r_f_set: 4.00   PWM: 26.13   Flow_SFM: 3.20   Flow_SDP: 3.25   Mean_Pressure: 1.68
r_f_set: 4.00   PWM: 26.75   Flow_SFM: 3.37   Flow_SDP: 3.40   Mean_Pressure: 1.79
r_f_set: 4.00   PWM: 27.33   Flow_SFM: 3.54   Flow_SDP: 3.55   Mean_Pressure: 1.92
r_f_set: 4.00   PWM: 27.87   Flow_SFM: 3.70   Flow_SDP: 3.70   Mean_Pressure: 2.01
r_f_set: 4.00   PWM: 28.36   Flow_SFM: 3.79   Flow_SDP: 3.87   Mean_Pressure: 2.04
r_f_set: 4.00   PWM: 27.30   Flow_SFM: 3.89   Flow_SDP: 3.92   Mean_Pressure: 2.12
r_f_set: 4.00   PWM: 27.85   Flow_SFM: 4.04   Flow_SDP: 4.06   Mean_Pressure: 2.22
r_f_set: 4.00   PWM: 28.02   Flow_SFM: 4.07   Flow_SDP: 4.09   Mean_Pressure: 2.22
r_f_set: 4.00   PWM: 27.16   Flow_SFM: 4.11   Flow_SDP: 4.12   Mean_Pressure: 2.24
r_f_set: 4.00   PWM: 27.25   Flow_SFM: 4.09   Flow_SDP: 4.15   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 26.71   Flow_SFM: 4.12   Flow_SDP: 4.14   Mean_Pressure: 2.26
r_f_set: 4.00   PWM: 27.02   Flow_SFM: 4.10   Flow_SDP: 4.11   Mean_Pressure: 2.26
r_f_set: 4.00   PWM: 26.90   Flow_SFM: 4.12   Flow_SDP: 4.13   Mean_Pressure: 2.29
r_f_set: 4.00   PWM: 26.74   Flow_SFM: 4.08   Flow_SDP: 4.07   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 27.09   Flow_SFM: 4.02   Flow_SDP: 4.02   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 26.55   Flow_SFM: 4.05   Flow_SDP: 4.05   Mean_Pressure: 2.21
r_f_set: 4.00   PWM: 26.33   Flow_SFM: 4.00   Flow_SDP: 4.07   Mean_Pressure: 2.17
r_f_set: 4.00   PWM: 26.25   Flow_SFM: 4.04   Flow_SDP: 4.09   Mean_Pressure: 2.22
r_f_set: 4.00   PWM: 26.95   Flow_SFM: 3.95   Flow_SDP: 4.03   Mean_Pressure: 2.19
r_f_set: 4.00   PWM: 26.94   Flow_SFM: 3.97   Flow_SDP: 4.05   Mean_Pressure: 2.15
r_f_set: 4.00   PWM: 26.49   Flow_SFM: 3.89   Flow_SDP: 4.00   Mean_Pressure: 2.15
r_f_set: 4.00   PWM: 26.15   Flow_SFM: 3.94   Flow_SDP: 4.00   Mean_Pressure: 2.17
r_f_set: 4.00   PWM: 26.93   Flow_SFM: 3.94   Flow_SDP: 4.00   Mean_Pressure: 2.17
r_f_set: 4.00   PWM: 26.99   Flow_SFM: 4.00   Flow_SDP: 4.07   Mean_Pressure: 2.25
r_f_set: 4.00   PWM: 27.15   Flow_SFM: 4.04   Flow_SDP: 4.11   Mean_Pressure: 2.22
r_f_set: 4.00   PWM: 27.22   Flow_SFM: 4.05   Flow_SDP: 4.09   Mean_Pressure: 2.22
r_f_set: 4.00   PWM: 27.46   Flow_SFM: 3.99   Flow_SDP: 4.07   Mean_Pressure: 2.21
r_f_set: 4.00   PWM: 26.08   Flow_SFM: 3.99   Flow_SDP: 4.07   Mean_Pressure: 2.19
r_f_set: 4.00   PWM: 27.19   Flow_SFM: 3.99   Flow_SDP: 4.04   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 26.78   Flow_SFM: 4.01   Flow_SDP: 4.02   Mean_Pressure: 2.26
r_f_set: 4.00   PWM: 27.02   Flow_SFM: 3.96   Flow_SDP: 4.02   Mean_Pressure: 2.22
r_f_set: 4.00   PWM: 27.28   Flow_SFM: 4.03   Flow_SDP: 4.07   Mean_Pressure: 2.25
r_f_set: 4.00   PWM: 26.62   Flow_SFM: 4.06   Flow_SDP: 4.07   Mean_Pressure: 2.26
r_f_set: 4.00   PWM: 26.18   Flow_SFM: 4.02   Flow_SDP: 4.04   Mean_Pressure: 2.24
r_f_set: 4.00   PWM: 27.36   Flow_SFM: 3.97   Flow_SDP: 4.01   Mean_Pressure: 2.26
r_f_set: 4.00   PWM: 27.33   Flow_SFM: 4.03   Flow_SDP: 4.11   Mean_Pressure: 2.20
r_f_set: 4.00   PWM: 27.35   Flow_SFM: 3.98   Flow_SDP: 4.07   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 26.73   Flow_SFM: 3.97   Flow_SDP: 4.06   Mean_Pressure: 2.22
r_f_set: 4.00   PWM: 27.25   Flow_SFM: 3.98   Flow_SDP: 4.07   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 26.71   Flow_SFM: 4.02   Flow_SDP: 4.03   Mean_Pressure: 2.26
r_f_set: 4.00   PWM: 26.20   Flow_SFM: 4.05   Flow_SDP: 4.09   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 27.32   Flow_SFM: 4.03   Flow_SDP: 4.04   Mean_Pressure: 2.27
r_f_set: 4.00   PWM: 27.40   Flow_SFM: 3.96   Flow_SDP: 4.00   Mean_Pressure: 2.23
r_f_set: 4.00   PWM: 27.26   Flow_SFM: 4.04   Flow_SDP: 4.09   Mean_Pressure: 2.26
r_f_set: 4.00   PWM: 26.62   Flow_SFM: 3.97   Flow_SDP: 4.01   Mean_Pressure: 2.21
r_f_set: 4.00   PWM: 26.29   Flow_SFM: 3.98   Flow_SDP: 4.01   Mean_Pressure: 2.21
r_f_set: 4.00   PWM: 26.79   Flow_SFM: 4.01   Flow_SDP: 4.08   Mean_Pressure: 2.24
r_f_set: 4.00   PWM: 27.04   Flow_SFM: 4.00   Flow_SDP: 4.00   Mean_Pressure: 2.25
r_f_set: 4.00   PWM: 25.86   Flow_SFM: 4.07   Flow_SDP: 4.07   Mean_Pressure: 2.25
r_f_set: 5.00   PWM: 30.51   Flow_SFM: 4.10   Flow_SDP: 4.11   Mean_Pressure: 2.30
r_f_set: 5.00   PWM: 30.66   Flow_SFM: 4.30   Flow_SDP: 4.31   Mean_Pressure: 2.43
r_f_set: 5.00   PWM: 32.98   Flow_SFM: 4.44   Flow_SDP: 4.48   Mean_Pressure: 2.48
r_f_set: 5.00   PWM: 33.61   Flow_SFM: 4.59   Flow_SDP: 4.68   Mean_Pressure: 2.60
r_f_set: 5.00   PWM: 33.37   Flow_SFM: 4.71   Flow_SDP: 4.77   Mean_Pressure: 2.76
r_f_set: 5.00   PWM: 33.37   Flow_SFM: 4.87   Flow_SDP: 4.95   Mean_Pressure: 2.83
r_f_set: 5.00   PWM: 34.12   Flow_SFM: 4.94   Flow_SDP: 5.00   Mean_Pressure: 2.94
r_f_set: 5.00   PWM: 34.15   Flow_SFM: 4.99   Flow_SDP: 5.00   Mean_Pressure: 2.99
r_f_set: 5.00   PWM: 33.61   Flow_SFM: 5.07   Flow_SDP: 5.13   Mean_Pressure: 3.03
r_f_set: 5.00   PWM: 33.05   Flow_SFM: 5.16   Flow_SDP: 5.23   Mean_Pressure: 3.03
r_f_set: 5.00   PWM: 32.82   Flow_SFM: 5.12   Flow_SDP: 5.12   Mean_Pressure: 3.07
r_f_set: 5.00   PWM: 33.78   Flow_SFM: 5.11   Flow_SDP: 5.17   Mean_Pressure: 3.08
r_f_set: 5.00   PWM: 34.13   Flow_SFM: 5.10   Flow_SDP: 5.21   Mean_Pressure: 3.04
r_f_set: 5.00   PWM: 32.07   Flow_SFM: 5.07   Flow_SDP: 5.20   Mean_Pressure: 2.99
r_f_set: 5.00   PWM: 32.76   Flow_SFM: 5.04   Flow_SDP: 5.10   Mean_Pressure: 2.98
r_f_set: 5.00   PWM: 31.79   Flow_SFM: 5.11   Flow_SDP: 5.10   Mean_Pressure: 3.05
