r_f_set: 4.00   PWM: 29.24   Flow_SFM: 4.05   Flow_SDP: 4.57   Mean_Pressure: 2.37
r_f_set: 4.00   PWM: 29.18   Flow_SFM: 4.08   Flow_SDP: 4.51   Mean_Pressure: 2.33
r_f_set: 4.00   PWM: 29.19   Flow_SFM: 4.09   Flow_SDP: 4.55   Mean_Pressure: 2.36
r_f_set: 4.00   PWM: 28.35   Flow_SFM: 4.10   Flow_SDP: 4.41   Mean_Pressure: 2.37
r_f_set: 4.00   PWM: 27.92   Flow_SFM: 4.10   Flow_SDP: 4.61   Mean_Pressure: 2.37
r_f_set: 4.00   PWM: 27.52   Flow_SFM: 4.08   Flow_SDP: 4.57   Mean_Pressure: 2.35
r_f_set: 4.00   PWM: 27.39   Flow_SFM: 4.10   Flow_SDP: 4.49   Mean_Pressure: 2.38
r_f_set: 4.00   PWM: 27.69   Flow_SFM: 4.04   Flow_SDP: 4.28   Mean_Pressure: 2.32
r_f_set: 4.00   PWM: 27.76   Flow_SFM: 4.03   Flow_SDP: 4.45   Mean_Pressure: 2.35
r_f_set: 4.00   PWM: 26.62   Flow_SFM: 4.03   Flow_SDP: 4.43   Mean_Pressure: 2.31
r_f_set: 4.00   PWM: 27.27   Flow_SFM: 4.01   Flow_SDP: 4.42   Mean_Pressure: 2.30
r_f_set: 4.00   PWM: 27.75   Flow_SFM: 4.03   Flow_SDP: 4.49   Mean_Pressure: 2.34
r_f_set: 4.00   PWM: 27.76   Flow_SFM: 3.99   Flow_SDP: 4.45   Mean_Pressure: 2.29
r_f_set: 4.00   PWM: 27.02   Flow_SFM: 3.97   Flow_SDP: 4.43   Mean_Pressure: 2.32
r_f_set: 4.00   PWM: 28.23   Flow_SFM: 4.01   Flow_SDP: 4.45   Mean_Pressure: 2.28
r_f_set: 4.00   PWM: 27.83   Flow_SFM: 3.98   Flow_SDP: 4.10   Mean_Pressure: 2.32
r_f_set: 4.00   PWM: 27.81   Flow_SFM: 4.02   Flow_SDP: 4.45   Mean_Pressure: 2.33
